project,revision_num,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,is_increased
couchbase-java-client,31214,0,1,0,0,1,0,1,0
couchbase-java-client,31246,0,1,1,0,1,0,1,1
couchbase-java-client,31250,0,1,1,1,0,0,1,0
couchbase-java-client,31569,0,0,0,0,0,0,0,0
couchbase-java-client,31655,0,0,0,0,0,0,0,1
couchbase-java-client,31667,0,1,0,0,0,0,1,0
couchbase-java-client,31668,0,0,0,0,0,0,0,0
couchbase-java-client,31710,0,0,0,1,0,0,1,0
couchbase-java-client,31734,0,0,0,1,0,0,1,0
couchbase-java-client,32305,0,0,0,0,0,0,0,0
couchbase-java-client,32306,0,1,0,0,0,0,1,0
couchbase-java-client,32355,0,1,0,1,0,0,1,0
couchbase-java-client,32425,0,1,0,0,0,0,1,0
couchbase-java-client,32589,0,1,0,1,1,0,1,1
couchbase-java-client,32727,0,0,1,0,0,0,1,0
couchbase-java-client,33285,0,0,0,1,0,0,1,0
couchbase-java-client,33788,0,1,0,1,0,0,1,0
couchbase-java-client,33826,0,0,0,0,0,0,0,0
couchbase-java-client,33827,0,0,0,0,0,0,0,0
couchbase-java-client,33884,0,0,0,0,0,0,0,0
couchbase-java-client,33930,0,1,0,0,1,0,1,0
couchbase-java-client,34378,0,0,0,0,0,0,0,0
couchbase-java-client,34380,0,0,0,0,0,0,0,0
couchbase-java-client,34555,0,0,0,0,0,0,0,0
couchbase-java-client,34626,0,1,0,0,0,0,1,0
couchbase-java-client,34854,0,1,0,0,0,0,1,0
couchbase-java-client,34885,0,1,0,0,0,0,1,0
couchbase-java-client,34935,0,1,0,0,0,0,1,0
couchbase-java-client,35719,0,0,0,0,0,0,0,0
couchbase-java-client,35722,0,0,0,0,0,0,0,0
couchbase-java-client,36290,1,1,0,0,1,0,1,0
couchbase-java-client,36779,0,0,0,0,0,0,0,0
couchbase-java-client,36828,1,0,0,0,0,0,1,0
couchbase-java-client,36843,1,0,0,1,1,0,1,1
couchbase-java-client,36981,0,0,1,0,0,0,1,0
couchbase-java-client,36985,0,0,1,0,0,0,1,1
couchbase-java-client,37267,1,0,0,1,0,0,1,0
couchbase-java-client,37382,1,0,0,1,0,0,1,0
couchbase-java-client,37383,1,0,0,1,0,0,1,0
couchbase-java-client,37500,1,0,0,1,0,0,1,0
couchbase-java-client,37718,0,0,0,0,1,0,1,0
couchbase-java-client,37719,0,0,0,0,0,0,0,0
couchbase-java-client,37722,0,0,0,0,0,0,0,0
couchbase-java-client,37726,0,0,0,0,0,0,0,0
couchbase-java-client,37729,0,1,0,0,0,0,1,0
couchbase-java-client,37902,1,0,0,1,0,0,1,1
